UBIGEO,UBIGEO_INEI,DEPARTAMENTO,PROVINCIA,DISTRITO,pobreza_inf_2018,pobreza_sup_2018,pobreza_mid_2018,grupo_robusto,rank_pobreza,pob2020,valid_candidates,jpp_votes,fp_votes,rp_votes,jpp_share,fp_share,rp_share,jpp_minus_fp_share
020320,020515,Áncash,Bolognesi,Ticllos,22.79786464,49.17237336,35.985119,10.0,881.0,633.0,215,22,49,5,0.10232558139534884,0.22790697674418606,0.023255813953488372,-0.12558139534883722
020321,020503,Áncash,Bolognesi,Antonio Raymondi,30.00206588,54.24029612,42.121181,9.0,641.0,1020.0,647,127,101,23,0.19629057187017002,0.1561051004636785,0.03554868624420402,0.04018547140649151
020322,020506,Áncash,Bolognesi,Canis,23.15890052,43.462199479999995,33.31055,11.0,969.0,279.0,121,7,34,8,0.05785123966942149,0.2809917355371901,0.06611570247933884,-0.2231404958677686
020323,020507,Áncash,Bolognesi,Colquioc,5.776169400000001,21.1458426,13.461006000000001,17.0,1641.0,2348.0,1091,150,271,56,0.13748854262144822,0.24839596700274977,0.051329055912007336,-0.11090742438130155
020324,020511,Áncash,Bolognesi,La Primavera,23.875099159999998,51.195652839999994,37.535376,10.0,815.0,444.0,151,13,12,1,0.08609271523178808,0.07947019867549669,0.006622516556291391,0.006622516556291383
020325,020508,Áncash,Bolognesi,Huallanca,20.08227144,37.05287656,28.567574,12.0,1145.0,6473.0,2459,543,546,95,0.22082147214314762,0.22204148027653517,0.03863359089060594,-0.0012200081333875457
020401,020601,Áncash,Carhuaz,Carhuaz,16.835569439999997,33.847040559999996,25.341305,14.0,1244.0,16675.0,6875,1900,1046,307,0.27636363636363637,0.15214545454545456,0.044654545454545454,0.12421818181818181
020402,020602,Áncash,Carhuaz,Acopampa,19.440604479999998,32.85469552,26.14765,13.0,1210.0,2794.0,1369,248,293,71,0.18115412710007306,0.21402483564645727,0.05186267348429511,-0.032870708546384214
020403,020603,Áncash,Carhuaz,Amashca,23.024374360000003,50.246065640000005,36.635220000000004,10.0,845.0,1520.0,918,349,102,12,0.3801742919389978,0.1111111111111111,0.013071895424836602,0.2690631808278867
020404,020604,Áncash,Carhuaz,Anta,33.72544388,58.469060119999995,46.097252,8.0,490.0,2598.0,1432,469,271,27,0.32751396648044695,0.1892458100558659,0.018854748603351956,0.13826815642458104
020405,020605,Áncash,Carhuaz,Ataquero,27.59458024,56.391805760000004,41.993193000000005,9.0,645.0,1617.0,792,248,172,20,0.31313131313131315,0.21717171717171718,0.025252525252525252,0.09595959595959597
020406,020606,Áncash,Carhuaz,Marcara,16.330949359999998,32.685616640000006,24.508283000000002,14.0,1270.0,10782.0,4725,1371,874,149,0.29015873015873017,0.18497354497354498,0.03153439153439153,0.10518518518518519
020407,020607,Áncash,Carhuaz,Pariahuanca,19.440604479999998,32.85469552,26.14765,13.0,1211.0,1455.0,788,133,144,24,0.16878172588832488,0.18274111675126903,0.030456852791878174,-0.013959390862944149
020408,020608,Áncash,Carhuaz,San Miguel De Aco,45.68142519999999,73.3415528,59.511489,5.0,123.0,2502.0,1217,337,199,46,0.2769104354971241,0.16351684470008218,0.03779786359901397,0.1133935907970419
020409,020609,Áncash,Carhuaz,Shilla,19.440604479999998,32.85469552,26.14765,13.0,1212.0,2915.0,1625,699,81,50,0.43015384615384616,0.049846153846153846,0.03076923076923077,0.38030769230769235
020410,020610,Áncash,Carhuaz,Tinco,23.031214560000002,46.05832944,34.544772,11.0,928.0,3861.0,1699,303,396,55,0.1783402001177163,0.23307828134196587,0.032371983519717484,-0.05473808122424956
020411,020611,Áncash,Carhuaz,Yungar,24.175511639999996,44.53037036,34.352941,11.0,936.0,3288.0,1893,452,486,53,0.2387744321183307,0.25673534072900156,0.027997886951928157,-0.017960908610670873
020501,020801,Áncash,Casma,Casma,11.905176520000001,21.427887480000003,16.666532000000004,16.0,1543.0,40363.0,14908,1147,4183,1313,0.07693855647974242,0.2805876039710223,0.08807351757445667,-0.20364904749127988
020502,020802,Áncash,Casma,Buena Vista Alta,17.63786432,30.842415680000002,24.24014,14.0,1293.0,5413.0,2270,543,709,73,0.23920704845814977,0.31233480176211453,0.032158590308370046,-0.07312775330396476
